ALL STANDALONE,,,,,,,
(As on Date:  13-10-2025  0:55:24),,,,,,,
Aishe Code,Name,State,District,Year Of Establishment,Location,Standalone Type,Manegement
S-9535,LOKSEVA BAHUDESHIYA SEVA MANDAL C. N. WASNIK ADHYAPAK LAKHANDUR RA LAKHANDUR BHANDARA,Maharashtra,Bhandara,2008,Rural,Teacher Training,Private Un-Aided
S-9536,LOKSEVA BAHUVUDDESHIYA SEVABAHAVI SANSTHA LATUR LATUR,Maharashtra,Latur,2008,Urban,Teacher Training,Private Un-Aided
S-1884,6446-KAI. AMDAR BRAMHADEVDADA MANE SHIKSHAN VA SAMAJIK PRATISHTHANBRAMHADEVDADA MANE POLYTECHNIC BELATI NOTH SOLAPUR,Maharashtra,Solapur,2008,Rural,Technical/Polytechnic,Private Un-Aided
S-9541,LONESHWAR GRAMIN VIKAS MANDAL JUNIOR COLLEGE OF EDUCATION LONI HAVELI AHMEDNAGAR,Maharashtra,Ahilyanagar,2007,Rural,Teacher Training,Private Un-Aided
S-12816,"MAA GANGA NURSING SCHOOL, WASHIM",Maharashtra,Washim,2006,Urban,Nursing,Private Un-Aided
S-4778,MAA GAYATRI SCHOOL OF NURSING AMRAVATI,Maharashtra,Amravati,2004,Rural,Nursing,Private Un-Aided
S-1883,"2288-Kai Haribhai Varpudkar Gramin Mahila Sevabhavi Sanstha's LATE. HARIBAI WARPUDKAR POLYTECHNIC, PARBHANI",Maharashtra,Parbhani,2010,Rural,Technical/Polytechnic,Private Un-Aided
S-1885,5246-KAI. VANJIBABA GRAMIN VIKAS MANDAL SHANTIDEVI CHAVHAN INSTITUTE OF ENGINEERING & TECHNOLOGY CHALISGAON,Maharashtra,Jalgaon,2008,Rural,Technical/Polytechnic,Private Un-Aided
S-9423,KAI. WANCHALABAI GHUMARE SHIKSHAN PRASARAK MANDAL GEORAI BEED,Maharashtra,Beed,2006,Urban,Teacher Training,Private Un-Aided
S-14750,"NATIONAL INSURANCE ACADEMY, PUNE",Maharashtra,Pune,1980,Urban,PGDM Institutes,Private Un-Aided
S-9424,KAI. YASHODABAI DAGADU SARAF CHARITABLE TRUST SAKEGAON JALGAON,Maharashtra,Jalgaon,2007,Rural,Teacher Training,Private Un-Aided
S-15572,KALYAN INSTITUTE OF NURSING EDUCATION,Maharashtra,Chandrapur,2007,Rural,Nursing,Private Un-Aided
S-15879,Kalyani Nursing School,Maharashtra,Nagpur,2008,Urban,Nursing,Private Un-Aided
S-12822,"KAMAL INSTITUTE OF NURSING EDUCATION JATH, SANGLI",Maharashtra,Sangli,2006,Rural,Nursing,Private Un-Aided
S-9427,KAMDHENU BAHU UDDESIYA SEVABHAVI SANSTHA D. ED. COLLEGE AURANGABAD AURANGABAD,Maharashtra,Chhatrapati Sambhajinagar,2006,Rural,Teacher Training,Private Un-Aided
S-9430,KAMLA NEHRU JUNIOR COLLEGE OF EDUCATION KARAD SATARA,Maharashtra,Satara,1955,Urban,Teacher Training,Private Aided (Government Aided)
S-9431,KAMLA NEHRU URDU D. ED. COLLEGE MALKAPUR BULDANA,Maharashtra,Buldhana,1984,Rural,Teacher Training,Private Un-Aided
S-14581,MADARSA DARUL YATAMA URDU D.T.ED. COLLEGE PIPLA. DH. TQ. AMBAJOGAI,Maharashtra,Beed,2010,Rural,Teacher Training,Private Un-Aided
S-9432,KARMAVEER SHIKSHAN PRASARK MANDAL MAHATMA PHULE MARG BEED,Maharashtra,Beed,2006,Urban,Teacher Training,Private Un-Aided
S-15576,"MADHUKARRAO MAHAKALKAR NURSING SCHOOL (RANM), NAGPUR",Maharashtra,Nagpur,2008,Urban,Nursing,Private Un-Aided
S-4779,MADHURIBAI DESHMUKH INSTITUTE OF NURSING EDUCATION NAGPUR,Maharashtra,Nagpur,1995,Rural,Nursing,Private Un-Aided
S-1916,MAEER MIT'S SRI SAVITRIBAI PHULE POLYTECHNIC,Maharashtra,Pune,1996,Urban,Technical/Polytechnic,Private Un-Aided
S-9546,MAHALUNGE GRAM VIKAS SAMITI TRUST MAHALUNGE PUNE,Maharashtra,Pune,2006,Rural,Teacher Training,Private Un-Aided
S-9547,MAHARAJA MADHAVRAO SHINDE JAMGAON AHMEDNAGAR,Maharashtra,Ahilyanagar,1955,Rural,Teacher Training,Private Aided (Government Aided)
S-14866,Maharani Shantadevi Gaikwad Grihashtra Shikshan Sansthas Adhyapika Vidyalaya,Maharashtra,Kolhapur,1971,Urban,Teacher Training,State Government
S-1902,4234-LATE M.D. YERGUDE MEMORIAL SHIKSHAN PRASARAK MANDAL'S SHRI SAI POLYTECHNIC CHANDRAPUR,Maharashtra,Chandrapur,1994,Urban,Technical/Polytechnic,Private Un-Aided
S-1904,4253-LATE SHRI LAXMAJI MOTGHARE CHRITABLE TRUST'S DR. ARUN MOTGHARE POLYTECHNIC KOSARA-KONDA BHANDARA,Maharashtra,Bhandara,2009,Rural,Technical/Polytechnic,Local Body
S-9433,KARMAVIR TATHYASAHEB HARI RAVAJI PATIL BHADGAON JALGAON,Maharashtra,Jalgaon,2007,Urban,Teacher Training,Private Un-Aided
S-1906,4247-LAXMANRAO MANKAR COLLEGE OF POLYTECHNIC AMGAON GONDIA,Maharashtra,Gondia,2009,Rural,Technical/Polytechnic,Private Un-Aided
S-1908,3286-LEELA EDUCATION SOCIETY G. V. ACHARYA POLYTECHNIC SHELU KARJAT.,Maharashtra,Raigad,2009,Urban,Technical/Polytechnic,Private Un-Aided
S-9434,KARMAVIR VITHAL RAMAJI SHINDE SHIKSHAN SANSTHA GADHINGLAJ KOLHAPUR,Maharashtra,Kolhapur,2009,Rural,Teacher Training,Private Un-Aided
S-1910,4164-LOKMANYA TILAK JANKALYAN SHIKSHAN SANSTHA'S J.L.CHATURVEDI COLLEGE OF PHARMACY(DIPLOMA) NAGPUR,Maharashtra,Nagpur,1997,Urban,Technical/Polytechnic,Private Un-Aided
S-1912,6448-LOKNETE MA.HANUMANTRAO PATIL CHARITABLE TRUST ADARSH INSTITUTE OF TECHNOLOGY (POLY) KHAMBALE,Maharashtra,Sangli,2008,Rural,Technical/Polytechnic,Private Un-Aided
S-14594,"KARMAYOGI SHRI.H.R.KAWCHALE ADHYAPAK VIDYALAY, SOLAPUR",Maharashtra,Solapur,2011,Rural,Teacher Training,Private Un-Aided
S-10812,6513-LOKSEVA PRATISTHAN`S LOKSEVA COLLEGE OF PHARMACY PHULGAON HAVELI PUNE,Maharashtra,Pune,2006,Rural,Technical/Polytechnic,Private Un-Aided
S-1905,"6403-Latthe Education Society's Polytechnic, Sangli",Maharashtra,Sangli,1983,Urban,Technical/Polytechnic,Private Un-Aided
S-9551,MAHARASHTRA ADHYAPAK VIDYALAYA AHMEDNAGAR AHMEDNAGAR,Maharashtra,Ahilyanagar,1969,Urban,Teacher Training,Private Aided (Government Aided)
S-9435,KASAMADE PARISAR VIKAS MANDALS DEOLA DEOLA,Maharashtra,Nashik,2006,Rural,Teacher Training,Private Un-Aided
S-14967,"Maharashtra Adyapak Vidyalaya, Nilanga",Maharashtra,Latur,2010,Rural,Teacher Training,Private Un-Aided
S-15156,"MAHARASHTRA HOMEOPATHIC FOUNDATION SCHOOL OF NURSING, SANGAMNER PATHAR",Maharashtra,Ahilyanagar,2009,Rural,Nursing,Private Un-Aided
S-9445,KHANDESH UNION EDUCATION SOCIETY JALGAON JALGAON,Maharashtra,Jalgaon,2008,Urban,Teacher Training,Private Aided (Government Aided)
S-9554,MAHARASHTRA JR. COLLEGE OF EDUCATION AJNI NAGPUR,Maharashtra,Nagpur,1956,Urban,Teacher Training,Private Aided (Government Aided)
S-9555,MAHARASHTRA JR. COLLEGE OF EDUCATION CHANDUR BAZAR AMRAVATI,Maharashtra,Amravati,1985,Rural,Teacher Training,Private Un-Aided
S-9446,KHANDOBA SHIKSHAN PRASARAK MANDAL BHOKARDAN BHOKARDAN JALNA,Maharashtra,Jalna,2007,Rural,Teacher Training,Private Un-Aided
S-9557,MAHARASHTRA MAGASVARGIYA SHAIKSHNIK AND SAMAJIK VIKAS MANDAL LAKHANDUR BHANDARA,Maharashtra,Bhandara,2008,Rural,Teacher Training,Private Un-Aided
S-9556,MAHARASHTRA MAGASVARGIYA SHAIKSHNIK AND SAMAJIK VIKAS MANDAL MORGAON GONDIA,Maharashtra,Gondia,2006,Rural,Teacher Training,Private Un-Aided
S-4780,"MAHARASHTRA NURSING SCHOOL, CHAKUR, LATUR",Maharashtra,Latur,2007,Urban,Nursing,Private Un-Aided
S-9559,MAHARASHTRA SHIKSHAN MANDAL SANGMESHWAR E. ED COLLEGE SHIVNAGAR LATUR,Maharashtra,Latur,2007,Urban,Teacher Training,Private Un-Aided
S-9447,KHATOON MINORITY WOMEN SOCIAL AND EDUCATION SOCIETY MALEGAON MALEGAON,Maharashtra,Nashik,2001,Urban,Teacher Training,Private Un-Aided
S-9562,MAHARSHI KARVE STREE-SHIKSHAN SANSTHA NARGUNDKAR EDUCATIONAL COMPLEX NAGPUR NAGPUR,Maharashtra,Nagpur,2009,Urban,Teacher Training,Private Un-Aided
S-9563,MAHARSHI SHINDE ADHYAPAK VIDYALAYA SHIVAJI NAGAR NASIK,Maharashtra,Nashik,1939,Urban,Teacher Training,Private Aided (Government Aided)
S-9420,UTTAMRAO DAHAKE SHIKSHAN MAHAVIDYALAYA KANHERI SARAP TAL BARSHI TAKALI DIST AKOLA,Maharashtra,Akola,2006,Rural,Teacher Training,Private Un-Aided
S-9565,MAHASHRI SHAIKSHANIK AND KRISHI SANSTHA NANDURBAR NANDURBAR,Maharashtra,Nandurbar,2009,Urban,Teacher Training,Private Un-Aided
S-10817,"6519-Loknete Maa. Hanumantrao Patil Charitable Trust's Adarsh Institute Of Pharmacy, Vita",Maharashtra,Sangli,2006,Rural,Technical/Polytechnic,Private Un-Aided
S-9409,KADARIYA MUSLIM EDUCATION MULTIPURPOSE CHARITABLE TRUST KADARIYA D. ED. COLLEGE CHIKHLI ROAD BULDANA,Maharashtra,Buldhana,2008,Rural,Teacher Training,Private Un-Aided
S-9577,MAHATMA JYOTIBA PHULE BAHUUDDESHIYA SHIKSHAN CHIKHILI BULDANA,Maharashtra,Buldhana,2008,Rural,Teacher Training,Private Un-Aided
S-9580,MAHATMA PHULE JR. COLLEGE OF EDUCATION SATARA SATARA,Maharashtra,Satara,1935,Urban,Teacher Training,Private Aided (Government Aided)
S-9581,MAHATMA PHULE VIDYANIKETAN SANSTHA HADPASAR PUNE,Maharashtra,Pune,2007,Rural,Teacher Training,Private Un-Aided
S-9583,MAHILA ASHRAM JR. COLLEGE OF EDUCATION MAHILA ASHRAM WARDHA,Maharashtra,Wardha,1956,Urban,Teacher Training,Private Aided (Government Aided)
S-9584,MAHILA BAHUDDESHIYA SHIKSHAN SANSTHAS D. ED. COLLEGE OF EDUCATION WARDHA WARDHA,Maharashtra,Wardha,2006,Rural,Teacher Training,Private Un-Aided
S-9585,MAHILA JR. COLLEGE OF EDUCATION CHANDRAPUR CHANDRAPUR,Maharashtra,Chandrapur,2005,Urban,Teacher Training,Private Un-Aided
S-9586,MAHILA JUNIOR COLLEGE LOF EDUCATION BHANDARA DISTBHANDARA DISTBHANDARA,Maharashtra,Bhandara,1961,Urban,Teacher Training,Private Aided (Government Aided)
S-9589,MAITREYA SHIKSHAN PRASARAK MANDAL NANDANVANA COLONY AURANGABAD,Maharashtra,Chhatrapati Sambhajinagar,2006,Urban,Teacher Training,Private Un-Aided
S-9590,MAJALGAON VIKAS PRATISHTHAN MANJALGAON MAHILA D. ED COLLEGE MAJALGAON MAJALGAON,Maharashtra,Beed,2006,Rural,Teacher Training,Private Un-Aided
S-12823,"MANAV SADHAN VIKAS SANSTHAs SCHOOL OF NURSING, SINDHUDURG",Maharashtra,Sindhudurg,1997,Rural,Nursing,Private Un-Aided
S-9592,MANGANGA SHIKSHAN SANSTHA ATPADI ATPADI,Maharashtra,Sangli,2003,Rural,Teacher Training,Private Un-Aided
S-9593,MANJRA CHARITABLE TRUST WORLI MUMBAI,Maharashtra,Mumbai Suburban,2005,Urban,Teacher Training,Private Un-Aided
S-9597,MARATHA MANDIR S. R. DESAI JUNIOR COLLEGE OF EDUCATION SHIVAJI NAGR RATNAGIRI,Maharashtra,Ratnagiri,1961,Urban,Teacher Training,Private Aided (Government Aided)
S-14589,"MARATHA VIDHYA PRASARAK SAMAJ'S ADHYAPAK VIDYALAYA SINNAR, NASHIK",Maharashtra,Nashik,2006,Rural,Teacher Training,Private Un-Aided
S-9598,MARATHI JUNIOR COLLEGE OF EDUCATION MALEGAON NASIK,Maharashtra,Nashik,1952,Urban,Teacher Training,Private Aided (Government Aided)
S-1918,6523-MAHARASHTRA COSMOPOLITAN EDUCATION SOCIETY INSTITUTE OF PHARMACY(DIPLOMA) AZAM CAMPAUS PUNE,Maharashtra,Pune,2003,Urban,Technical/Polytechnic,Private Un-Aided
S-1920,6019-MAHARASHTRA INSTITUTE OF PRINTING TECHNOLOGY(AIDED) PUNE,Maharashtra,Pune,1978,Urban,Technical/Polytechnic,Private Aided (Government Aided)
S-1922,4598-MAHARASHTRA SHIKSHAN PRASARAK MANDALSSOMMAYA DIPLOMA IN ENGINEERING WADGAON DIST CHANDRAPUR,Maharashtra,Chandrapur,2010,Urban,Technical/Polytechnic,Private Un-Aided
S-1923,2024-MAHARASHTRA SHIKSHAN SAMITI'S MAHARASHTRA POLYTECHNIC (D. PHARMACY) INSTITUTE NILANGALATUR,Maharashtra,Latur,1981,Rural,Technical/Polytechnic,Private Aided (Government Aided)
S-14618,"MATOSHRI EDUCATION SOCIETYS MATOSHRI SCHOOL OF ANM NURSING, BABHULGAON, YEOLA",Maharashtra,Nashik,2009,Rural,Nursing,Private Un-Aided
S-1924,"5357-Maharashtra Shikshan Vikas Mandal's Loknete Gopalraoji Gulwe, Polytehnic,Vilholi,Nashik",Maharashtra,Nashik,1978,Rural,Technical/Polytechnic,Private Un-Aided
S-14623,"MATOSHRI EDUCATION SOCIETYS MATOSHRI SCHOOL OF ANM NURSING, EKLAHARE",Maharashtra,Nashik,2009,Rural,Nursing,Private Un-Aided
S-1925,6027-MAHARASHTRA STATE INSTITUTE OF HOTEL MANAGEMENT & CATERING TECHNOLOGYPUNE,Maharashtra,Pune,1969,Urban,Technical/Polytechnic,State Government
S-1926,"2181-Mahatma Basaveshwar Education Society's T.B.Girwalkar Polytechnic, Ambejogai, Dist.Beed",Maharashtra,Beed,1983,Rural,Technical/Polytechnic,Private Un-Aided
S-10354,2214-MAHATMA BASVESHWAR EDUCATION SOC COLLEGE OF PHARMACY BARSHI ROAD LATUR,Maharashtra,Latur,2006,Rural,Technical/Polytechnic,Private Aided (Government Aided)
S-15230,"MATRUBHOOMI NURSING SCHOOL, UDGIR",Maharashtra,Latur,2011,Rural,Nursing,Private Un-Aided
S-10268,1163-MAHILA UTKARSHA PRATISHSTAN`S PHARMACY COLLEGE RISOD WASHIM,Maharashtra,Washim,2006,Rural,Technical/Polytechnic,Private Un-Aided
S-1934,4276-MAHILA VIKAS SANSTHA'S DR. R.G. BHOYAR INSTITUTE OF PHARMACY WARDHA,Maharashtra,Wardha,2006,Urban,Technical/Polytechnic,Private Un-Aided
S-9610,MATSYODARI SHIKSHAN SANSTHAS COLLEGE OF EDUCATION JALNA,Maharashtra,Jalna,2006,Rural,Teacher Training,Private Un-Aided
S-1936,3291-MANDAR EDUCATION SOCIETY'S COLLEGE OF PHARMACY(DIPLOMA) PEDHAMBE,Maharashtra,Ratnagiri,1986,Rural,Technical/Polytechnic,Private Un-Aided
S-1937,3255-MANDAR EDUCATION SOCIETY'S RAJARAM SHINDE INSTITUTE OF ENGINEERING AND TECHNOLOGY PEDHAMBE,Maharashtra,Ratnagiri,1984,Rural,Technical/Polytechnic,Private Un-Aided
S-1939,3270-MARATHA MANDIR'S BABASAHEB GAWADE INSTITUTE OF TECHNOLOGY MUMBAI,Maharashtra,Mumbai,1997,Urban,Technical/Polytechnic,Private Un-Aided
S-9611,MATUSHRI SHIKSHAN SEVA MANDAL MATUSHRI ADHYAPAK VIDYALAYA (D. ED. ) SHEGAON SHEGAON,Maharashtra,Buldhana,2009,Rural,Teacher Training,Private Un-Aided
S-10455,4275-MAHATMA PHULE SAMATA SHIKSHAN SANSTHA`S K D PAWAR COLLEGE OF PHARMACY SAONER NAGPUR,Maharashtra,Nagpur,2006,Rural,Technical/Polytechnic,Private Un-Aided
S-15311,Maulana Mohd. ALi Johar D. El. Ed College,Maharashtra,Chhatrapati Sambhajinagar,2001,Urban,Teacher Training,Private Un-Aided
S-1927,"3283-Mahatma Education Society's, Pillai HOC Polytechnic, Rasayani",Maharashtra,Raigad,2009,Urban,Technical/Polytechnic,Private Un-Aided
S-9600,MARATHWADA ASSOCIATION FOR SOCIAL SERVICESS KHULTABAD AURANGABAD,Maharashtra,Chhatrapati Sambhajinagar,2005,Rural,Teacher Training,Private Un-Aided
S-9616,MAULE KALA KRIDA SHAIKSHANIK SANSKRUTIK & KRUSHI VIKAS PRATISHTAN KHANDALA SATARA,Maharashtra,Satara,2006,Rural,Teacher Training,Private Un-Aided
S-9602,MARATHWARD SHIKSHAK PRASARAK MANDAL LAL BAHADUR SHASTRI D. ED COLLEGE PARTUR JALNA,Maharashtra,Jalna,1989,Rural,Teacher Training,Private Un-Aided
S-4783,MARY BHORE SCHOOL OF NURSING SANGLI,Maharashtra,Sangli,2005,Urban,Nursing,Private Un-Aided
S-9617,MAULI PRATHISTHAN LATE MARUTI BADHE ADHYAPAK VIDYALAYA HAVELI AURANGABAD,Maharashtra,Pune,2008,Rural,Teacher Training,Private Un-Aided
S-9603,MASUMIYA URDU D. ED. COLLEG FOR WOMEN MUKUND NAGAR AHMEDNAGAR,Maharashtra,Ahilyanagar,1989,Urban,Teacher Training,Private Un-Aided
S-12814,"MEDICAL MISSION SECULAR INSTITUTE, NITYASEVA HOSPITAL NURSING SCHOOL SHEGAON, AHMADNAGAR",Maharashtra,Ahilyanagar,2008,Rural,Nursing,Private Un-Aided
S-9604,MATHURAI SHIKSHAN SANSTHA JALGAON CHALISGAON,Maharashtra,Jalgaon,2007,Urban,Teacher Training,Private Un-Aided
S-14619,"MATOSHRI EDUCATION SOCIETYS M A D SCHOOL OF RANM NURSING, DHANORE, YEOLA",Maharashtra,Nashik,2010,Rural,Nursing,Private Un-Aided
S-9619,MEHMUDA SHIKSHAN & MAHILA GRAMIN GODHNI NAGPUR,Maharashtra,Nagpur,2004,Rural,Teacher Training,Private Un-Aided
S-9620,MELGHAT ADIWASI VIDYALAYA CHIKHALDARA AMRAVATI,Maharashtra,Amravati,1993,Rural,Teacher Training,Private Un-Aided
S-15824,MGM INSTITUTE OF NURSING EDUCATION,Maharashtra,Chhatrapati Sambhajinagar,1994,Urban,Nursing,Private Un-Aided
S-9623,MHAVIDARBHA BHIKKU SANGH BHADRAWATIS TAKSHASHILA JUNIOR COLLEGE OF EDUCATION BHADRAWAT CHANDRAPUR,Maharashtra,Chandrapur,2006,Rural,Teacher Training,Private Un-Aided
S-9628,MODEL COLLEGE OF EDUCATION JUBILEE PARK AURANGABAD,Maharashtra,Chhatrapati Sambhajinagar,2003,Urban,Teacher Training,Private Un-Aided
S-9709,PES JUNIOR COLLEGE OF EDUCATION NAVI MUMBAI THANE,Maharashtra,Thane,1945,Urban,Teacher Training,Private Un-Aided
S-9710,PHULE SAMAJ SUDHARAK SAMITI MUKHED NANDED,Maharashtra,Nanded,2008,Rural,Teacher Training,Local Body
S-10757,"5013-Mahatma Gandhi Taluka Shikshan Mandal's Sharadchandrika S. Patil Inst of Technology, Chopda",Maharashtra,Jalgaon,1982,Urban,Technical/Polytechnic,Private Aided (Government Aided)
S-9712,PIMPALNER EDUCATION SOCIETY SAKRI DHULE,Maharashtra,Dhule,1952,Rural,Teacher Training,Private Un-Aided
S-12827,"PRABHADEVI  SCHOOL  OF  NURSING, CHANDRAPUR",Maharashtra,Chandrapur,2007,Urban,Nursing,Private Un-Aided
S-1950,2022-MAULANA AZAD EDUCATION SOCIETY'S KAMLA NEHRU POLYTECHNIC (PHARMACY)(PRIVATE) AURANGABAD,Maharashtra,Chhatrapati Sambhajinagar,2002,Urban,Technical/Polytechnic,Private Un-Aided
S-9715,PRABHAKAR MAMULKAR D. ED. COLLEGE RAJURA CHANDRAPUR,Maharashtra,Chandrapur,2005,Rural,Teacher Training,Private Un-Aided
S-9716,PRABHAKAR PATIL EDUCATION SOCIETY ALIBAG RAIGAD,Maharashtra,Raigad,2005,Rural,Teacher Training,Private Un-Aided
S-9718,PRADNYA BAHUUDDESHIYA MAHILA SANSTHA SHEGAON BULDANA,Maharashtra,Buldhana,2006,Rural,Teacher Training,Local Body
S-1915,"6007-Walchand College of Engineering, Sangli",Maharashtra,Sangli,1947,Urban,Technical/Polytechnic,Private Aided (Government Aided)
S-9719,PRADNYA PRATISHTHAN WAMAN NAGAR NANDED,Maharashtra,Nanded,2006,Urban,Teacher Training,Private Un-Aided
S-9720,PRAGAT MAHILA MANDAL TULJA BHAVANI D. ED. COLLEGE DEGLOOR NANDED,Maharashtra,Nanded,2008,Urban,Teacher Training,Local Body
S-9722,PRAJASATTAK COLLEGE OF EDUCATION BHANDARA ROAD NAGPUR,Maharashtra,Nagpur,2008,Urban,Teacher Training,Private Un-Aided
S-9725,PRATAP JUNIOR COLLEGE OF EDUCATION NIGARE KOLHAPUR,Maharashtra,Kolhapur,1960,Rural,Teacher Training,Local Body
S-9644,NAGNATH EDUCATION SOCIETY D. ED. COLLEGE HATKANANGLE KOLHAPUR,Maharashtra,Kolhapur,2006,Rural,Teacher Training,Private Un-Aided
S-15586,PRATIBHA SCHOOL OF NURSING,Maharashtra,Thane,2010,Urban,Nursing,Private Un-Aided
S-4792,PRAVARA MEDICAL TRUST AHMEDNAGAR,Maharashtra,Ahilyanagar,2008,Rural,Nursing,Private Un-Aided
S-9645,NAGRIK JR. COLLEGE OF EDUCATION MAHAL NAGPUR,Maharashtra,Nagpur,1956,Rural,Teacher Training,Private Aided (Government Aided)
S-9727,PRAVARA RURAL COLLEGE OF EDUCATION RAHATA AHMEDNAGAR,Maharashtra,Ahilyanagar,1990,Rural,Teacher Training,Private Un-Aided
S-15426,PRAYTNA NURSING COLLEGE,Maharashtra,Ahilyanagar,2010,Urban,Nursing,Private Un-Aided
S-9647,NAMDEOJAGTAPADHYAPAK VIDYALAYA KARMALA SOLAPUR,Maharashtra,Solapur,1990,Urban,Teacher Training,Local Body
S-9728,PRERANA EDUCATION SOCIETY NARKHED NAGPUR,Maharashtra,Nagpur,1970,Rural,Teacher Training,Private Un-Aided
S-9857,SARASWATI ADHYAPAK VIDYALAYA KINWAT NANDED,Maharashtra,Nanded,1994,Rural,Teacher Training,Private Un-Aided
S-9737,PUJYA SANE GURUJI EDUCATION SOCIETY MALEGAON NASIK,Maharashtra,Nashik,2007,Rural,Teacher Training,Private Aided (Government Aided)
S-9651,NAS COLLEGE OF EDUCATION (DEEP EDUCATION SOCIETY) PALGHAR THANE,Maharashtra,Thane,2006,Rural,Teacher Training,Private Un-Aided
S-8934,PUNE INSTITUTE OF AVIATION TECHNOLOGY PUNE,Maharashtra,Pune,2008,Urban,Institutes under Ministries,Private Un-Aided
S-9738,PUNE ZILLA SHIKSHAN MANDAL PAUD ROAD PUNE,Maharashtra,Pune,2002,Urban,Teacher Training,Private Un-Aided
S-9652,NASIK DISTRICT MARATHA VIDYA PRASARAK DINDORI NASIK,Maharashtra,Nashik,2005,Rural,Teacher Training,Private Aided (Government Aided)
S-9739,PUNJABAI PATEL COLLEGE OF EDUCATION GONDIA GONDIA,Maharashtra,Gondia,2004,Urban,Teacher Training,Private Un-Aided
S-9742,PYARABAI SOMANI ADHYAPIKA VIDYALAYA DEOPUR DHULE,Maharashtra,Dhule,1962,Urban,Teacher Training,Private Aided (Government Aided)
S-2002,"2025-Panchakshri Shivacharya Trust's Channa Basweshwar Institute Of D. Pharmacy, Latur",Maharashtra,Latur,1980,Urban,Technical/Polytechnic,Private Aided (Government Aided)
S-4788,NASIK MEDICO TRAINING PVT LTD NASIK,Maharashtra,Nashik,2004,Urban,Nursing,Private Un-Aided
S-10265,1158-PARAMHANSA RAMKRISHNA MAUNIBABA SHIKSHAN SANTHA`S ANURADHA COLLEGE OF PHARMACY CHIKHALI,Maharashtra,Buldhana,1994,Rural,Technical/Polytechnic,Private Un-Aided
S-2004,1250-PARAMHANS RAMKRISHNA MOUNI BABA SHIKSHAN SANSTHA'S ANURADHA POLYTECHNIC ANURADHA NAGARCHIKHALI BULDHANA.,Maharashtra,Buldhana,2010,Rural,Technical/Polytechnic,Private Un-Aided
S-15825,"NATIONAL HEALTH LAW RESEARCH INSTITUTES, CHINGUAAI INSTITUTE OF NURSING EDUCATION,KAVATHE MAHANKAL,",Maharashtra,Sangli,2009,Rural,Nursing,Private Un-Aided
S-15132,"St Paul Nursing College, Bamni",Maharashtra,Chandrapur,2011,Rural,Nursing,Private Un-Aided
S-14565,"NATIONAL INSTITUTE OF BANK MANAGEMENT, PUNE",Maharashtra,Pune,1969,Urban,PGDM Institutes,Private Un-Aided
S-9653,NATIONAL URDU ADHYAPAK VIDYALAYA (URDU) AGRA ROAD KALYAN,Maharashtra,Thane,1984,Urban,Teacher Training,Private Un-Aided
S-9654,NATIONAL URDU D. ED. COLLEGE SILLOD AURANGABAD,Maharashtra,Chhatrapati Sambhajinagar,2004,Urban,Teacher Training,Private Un-Aided
S-9655,NATIONAL URDU GIRLS D. ED. COLLEGE NEAR POWER HOUSE JALNA,Maharashtra,Jalna,2002,Urban,Teacher Training,Private Un-Aided
S-9656,NATIONAL WOMENS WELFARE SOCIETY DARWHA YAVATMAL,Maharashtra,Washim,2005,Rural,Teacher Training,Private Un-Aided
S-9658,NAVAL BHAU PRATISHTHANS AMALNER JALGAON,Maharashtra,Dhule,1990,Urban,Teacher Training,Private Un-Aided
S-14840,"Navbharat Junior College of Education, Wardha",Maharashtra,Wardha,1957,Urban,Teacher Training,Private Aided (Government Aided)
S-9660,NAVINBHAI SHAH PRATHISTAN SANGAMNER AHMEDNAGAR,Maharashtra,Ahilyanagar,2006,Rural,Teacher Training,Private Un-Aided
S-2019,"4233-Lokmanya Tilak Jankalyan Shikshan Sanstha's Priyadarshini Polytechnic, Nagpur",Maharashtra,Nagpur,1994,Rural,Technical/Polytechnic,Private Un-Aided
S-2009,"6413-Pimpri Chinchwad Education Trust's Pimpri Chinchwad Polytechnic,Pune",Maharashtra,Pune,1990,Urban,Technical/Polytechnic,Private Un-Aided
S-9659,NAVIN OSMANABAD ZILLA BALVIKAS SAMITEE BANK COLONY OSMANABAD,Maharashtra,Dharashiv,2008,Urban,Teacher Training,Private Un-Aided
S-2011,"5231-Poojya Sane Guruji Vidhya Prasarak Mandal's G. M. Choudhari Polytechnic, Shahada",Maharashtra,Nandurbar,1983,Rural,Technical/Polytechnic,Private Un-Aided
S-9661,NAVINRMAN PRATISHTHAN LATE KAKA SAHEAB RAMRAO VISHNU PATIL SAKRI DHULE,Maharashtra,Dhule,2008,Rural,Teacher Training,Private Un-Aided
S-2013,6125-POONA DISTRICT EDUCATION ASSOCIATION SHANKARRAO URSAL COLLEGE OF PHARMACY(DIPLOMA) KHARADI TAL: HAVELI,Maharashtra,Pune,2006,Urban,Technical/Polytechnic,Private Un-Aided
S-9664,NAVJEEVAN EDUCATION SOCIETY BHANDUP MUMBAI,Maharashtra,Mumbai Suburban,1971,Urban,Teacher Training,Private Un-Aided
S-2016,5220-PRAVARA RURAL EDUCATION SOCIETY'S PADMASHRI DR. VITTALRAO VIKHE PATIL POLYTECHNIC AHMEDNAGAR,Maharashtra,Ahilyanagar,1981,Rural,Technical/Polytechnic,Private Un-Aided
